Time,BMP,Spo2
2025-06-09 14:56:53,214.0,90.46571399999999
2025-06-09 14:56:53,232.0,88.747986
2025-06-09 14:56:53,238.0,88.747986
2025-06-09 14:56:53,241.0,88.747986
2025-06-09 14:56:53,241.0,-999.0
2025-06-09 14:56:53,232.0,-999.0
2025-06-09 14:56:53,223.0,-999.0
2025-06-09 14:56:53,214.0,-999.0
2025-06-09 14:56:53,214.0,-999.0
2025-06-09 14:56:53,214.0,-999.0
2025-06-09 14:56:53,214.0,-999.0
2025-06-09 14:56:53,214.0,-999.0
2025-06-09 14:56:53,214.0,-999.0
2025-06-09 14:56:53,214.0,-999.0
2025-06-09 14:56:53,214.0,-999.0
2025-06-09 14:56:53,214.0,-999.0
2025-06-09 14:56:54,214.0,-999.0
2025-06-09 14:56:54,214.0,-999.0
2025-06-09 14:56:54,214.0,-999.0
2025-06-09 14:56:54,214.0,-999.0
2025-06-09 14:56:54,214.0,-999.0
2025-06-09 14:56:54,214.0,-999.0
2025-06-09 14:56:54,202.0,-999.0
2025-06-09 14:56:54,190.0,-999.0
2025-06-09 14:56:54,178.0,-999.0
2025-06-09 14:56:54,166.0,-999.0
2025-06-09 14:56:54,166.0,-999.0
2025-06-09 14:56:54,178.0,-999.0
2025-06-09 14:56:54,190.0,-999.0
2025-06-09 14:56:54,202.0,-999.0
2025-06-09 14:56:54,214.0,-999.0
2025-06-09 14:56:54,202.0,-999.0
2025-06-09 14:56:54,190.0,-999.0
2025-06-09 14:56:54,178.0,-999.0
2025-06-09 14:56:54,166.0,-999.0
2025-06-09 14:56:54,166.0,-999.0
2025-06-09 14:56:56,155.75,95.052504
2025-06-09 14:56:56,145.5,95.052504
2025-06-09 14:56:56,135.25,95.052504
2025-06-09 14:56:56,125.0,95.052504
2025-06-09 14:56:56,125.0,95.052504
2025-06-09 14:56:56,125.0,95.052504
2025-06-09 14:56:56,122.5,95.052504
2025-06-09 14:56:56,120.0,95.052504
2025-06-09 14:56:56,117.5,95.052504
2025-06-09 14:56:56,115.0,95.052504
2025-06-09 14:56:56,115.0,95.052504
2025-06-09 14:56:56,115.0,95.052504
2025-06-09 14:56:56,115.0,95.052504
2025-06-09 14:56:56,115.0,95.052504
2025-06-09 14:56:56,105.0,99.373746
2025-06-09 14:56:56,95.0,99.373746
2025-06-09 14:56:56,85.0,99.373746
2025-06-09 14:56:56,68.75,96.486024
2025-06-09 14:56:56,62.5,96.486024
2025-06-09 14:56:56,56.25,96.486024
2025-06-09 14:56:56,50.25,96.486024
2025-06-09 14:56:56,50.5,96.486024
2025-06-09 14:56:56,50.75,96.486024
2025-06-09 14:56:56,51.0,96.486024
2025-06-09 14:56:56,51.0,96.486024
2025-06-09 14:56:57,51.0,96.486024
2025-06-09 14:56:57,52.5,96.486024
2025-06-09 14:56:57,52.5,96.486024
2025-06-09 14:56:57,52.5,96.486024
2025-06-09 14:56:57,52.5,96.486024
2025-06-09 14:56:57,51.0,96.486024
2025-06-09 14:56:57,53.75,-999.0
2025-06-09 14:56:57,56.5,-999.0
2025-06-09 14:56:57,59.25,-999.0
2025-06-09 14:56:57,69.75,57.7638
2025-06-09 14:56:57,77.5,57.7638
2025-06-09 14:56:57,85.25,57.7638
2025-06-09 14:56:57,93.0,57.7638
2025-06-09 14:56:57,93.0,57.7638
2025-06-09 14:56:57,93.0,57.7638
2025-06-09 14:56:57,93.0,57.7638
2025-06-09 14:56:57,93.0,57.7638
2025-06-09 14:56:57,93.0,57.7638
2025-06-09 14:56:57,93.0,57.7638
2025-06-09 14:56:57,93.0,57.7638
2025-06-09 14:56:57,93.0,57.7638
2025-06-09 14:56:57,93.0,57.7638
2025-06-09 14:56:57,93.0,57.7638
2025-06-09 14:56:57,93.0,57.7638
2025-06-09 14:56:57,93.0,57.7638
2025-06-09 14:56:58,93.0,57.7638
2025-06-09 14:56:58,93.0,-999.0
2025-06-09 14:56:58,93.0,-999.0
2025-06-09 14:56:58,93.0,-999.0
2025-06-09 14:56:58,93.0,-999.0
2025-06-09 14:56:58,93.0,-999.0
2025-06-09 14:56:58,83.5,57.7638
2025-06-09 14:56:58,74.0,57.7638
2025-06-09 14:56:58,64.5,57.7638
2025-06-09 14:56:58,54.5,57.7638
2025-06-09 14:56:58,53.5,57.7638
2025-06-09 14:56:58,52.5,57.7638
2025-06-09 14:56:58,51.5,57.7638
2025-06-09 14:56:58,43.0,-999.0
2025-06-09 14:56:58,105.25,97.802616
2025-06-09 14:56:59,167.5,97.802616
2025-06-09 14:56:59,229.75,97.802616
2025-06-09 14:56:59,300.0,97.802616
2025-06-09 14:56:59,300.0,97.802616
2025-06-09 14:56:59,300.0,97.802616
2025-06-09 14:56:59,300.0,97.802616
2025-06-09 14:56:59,287.5,45.679025999999986
2025-06-09 14:56:59,275.0,45.679025999999986
2025-06-09 14:56:59,262.5,45.679025999999986
2025-06-09 14:56:59,241.0,69.81524999999999
2025-06-09 14:56:59,232.0,69.81524999999999
2025-06-09 14:56:59,223.0,69.81524999999999
2025-06-09 14:56:59,207.25,71.982216
2025-06-09 14:56:59,216.25,68.32554599999999
2025-06-09 14:56:59,225.25,68.32554599999999
2025-06-09 14:56:59,234.25,68.32554599999999
2025-06-09 14:56:59,250.0,69.81524999999999
2025-06-09 14:56:59,241.0,69.81524999999999
2025-06-09 14:56:59,225.25,69.81524999999999
2025-06-09 14:56:59,209.5,69.81524999999999
2025-06-09 14:56:59,193.75,69.81524999999999
2025-06-09 14:56:59,202.75,9.443249999999992
2025-06-09 14:56:59,218.5,9.443249999999992
2025-06-09 14:56:59,234.25,9.443249999999992
2025-06-09 14:56:59,241.0,9.443249999999992
2025-06-09 14:57:00,232.0,9.443249999999992
2025-06-09 14:57:00,223.0,9.443249999999992
2025-06-09 14:57:00,223.0,9.443249999999992
2025-06-09 14:57:00,232.0,9.443249999999992
2025-06-09 14:57:00,241.0,9.443249999999992
2025-06-09 14:57:00,241.0,9.443249999999992
2025-06-09 14:57:00,232.0,9.443249999999992
2025-06-09 14:57:00,223.0,9.443249999999992
2025-06-09 14:57:00,223.0,9.443249999999992
2025-06-09 14:57:00,232.0,9.443249999999992
